"Assay" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
88 NA 0.693745819397993 0.693745819397993 0.693745819397993 0.693745819397993 0.696722408026756 0.70571906354515 0.712775919732441 0.712775919732441 0.719030100334448 0.716220735785953 0.716220735785953 0.712809364548495 0.712809364548495
89 NA 0.713604577240941 0.713604577240941 0.713604577240941 0.713604577240941 0.717355371900826 0.726255562619199 0.73467895740623 0.73467895740623 0.740750158931977 0.737603305785124 0.737603305785124 0.727018436109345 0.727018436109345
90 NA 0.91639566395664 0.91639566395664 0.91639566395664 0.91639566395664 0.917886178861789 0.907723577235772 0.908672086720867 0.908672086720867 0.907723577235772 0.90189701897019 0.90189701897019 0.907181571815718 0.907181571815718
91 NA 0.865315102938865 0.865315102938865 0.865315102938865 0.865315102938865 0.868694012258369 0.866572371522867 0.86995128084237 0.86995128084237 0.872387238723872 0.872701555869873 0.872701555869873 0.876630520194877 0.876630520194877
92 NA 0.8104 0.8104 0.8104 0.8104 0.8144 0.8168 0.8192 0.8192 0.8272 0.8312 0.8312 0.8352 0.8352
93 NA 0.86272504091653 0.86272504091653 0.86272504091653 0.86272504091653 0.862520458265139 0.862827332242226 0.865486906710311 0.865486906710311 0.86968085106383 0.867532733224223 0.867532733224223 0.872545008183306 0.872545008183306
94 NA 0.814469453376206 0.814469453376206 0.814469453376206 0.814469453376206 0.785209003215434 0.790353697749196 0.798070739549839 0.798070739549839 0.80032154340836 0.80032154340836 0.80032154340836 0.805466237942122 0.805466237942122
95 NA 0.762479871175523 0.762479871175523 0.762479871175523 0.762479871175523 0.768115942028985 0.776167471819646 0.783145464304885 0.783145464304885 0.786634460547504 0.789049919484702 0.789049919484702 0.774825550187869 0.774825550187869
96 NA 0.6384 0.6384 0.6384 0.6384 0.6128 0.5936 0.576 0.576 0.5712 0.5632 0.5632 0.5536 0.5536
97 0.917065449458882 0.891113892365457 0.891113892365457 0.891113892365457 0.888794817050725 0.891666053154679 0.854524037399691 0.848045350806155 0.848045350806155 0.848045350806155 0.848045350806155 0.848192593683281 0.850990208348671 0.850990208348671
98 NA 0.776704240472356 0.776704240472356 0.776704240472356 0.776704240472356 0.782071926999463 0.794417606011809 0.738056897477187 0.738056897477187 0.740740740740741 0.745571658615137 0.745571658615137 0.749865807836822 0.749865807836822
99 NA 0.763576848683232 0.763576848683232 0.763576848683232 0.763576848683232 0.751822645439667 0.757774140752864 0.760452313643803 0.760452313643803 0.761940187472102 0.762237762237762 0.762237762237762 0.76685017110549 0.76685017110549
100 NA 0.730748519116855 0.730748519116855 0.730748519116855 0.730748519116855 0.737749057619817 0.749057619816909 0.693591814754981 0.693591814754981 0.697899838449112 0.702207862143242 0.702207862143242 0.675821217016694 0.675821217016694
